year,player,team,age,pos,g,gs,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,punt,punt_yds,punt_long,punt_blocked,punt_yds_per_punt
2017,Harrison Butker,KAN,22,K,13,0,,,8,8,17,16,12,10,5,4,42,38,90.5%,28,28,100.0%,,,,,
2017,Ryan Succop,TEN,31,K,16,0,,,10,10,7,7,20,16,5,2,42,35,83.3%,33,31,93.9%,,,,,
2017,Robbie Gould,SFO,35,K,16,0,,,8,7,11,11,18,17,4,4,41,39,95.1%,30,28,93.3%,,,,,
2017,Phil Dawson,ARI,42,K,16,0,1,1,7,7,14,10,13,10,5,4,40,32,80.0%,26,23,88.5%,,,,,
2017,Stephen Gostkowski,NWE,33,K,16,0,,,16,16,9,9,11,8,4,4,40,37,92.5%,47,45,95.7%,,,,,
2017,Greg Zuerlein+,LAR,30,K,14,0,1,1,8,8,12,11,12,12,7,6,40,38,95.0%,46,44,95.7%,,,,,
2017,Matt Bryant,ATL,42,K,16,0,1,1,6,6,13,10,10,9,9,8,39,34,87.2%,35,35,100.0%,,,,,
2017,Chris Boswell,PIT,26,K,16,0,,,10,10,14,12,10,9,4,4,38,35,92.1%,39,37,94.9%,,,,,
2017,Kai Forbath,MIN,30,K,16,0,,,8,8,14,12,7,6,9,6,38,32,84.2%,39,34,87.2%,,,,,
2017,Justin Tucker,BAL,28,K,16,0,,,7,7,11,11,12,11,7,5,37,34,91.9%,39,39,100.0%,,,,,
2017,Wil Lutz,NOR,23,K,16,0,,,10,10,5,4,16,13,5,4,36,31,86.1%,50,47,94.0%,,,,,
2017,Matt Prater,DET,33,K,16,0,2,2,4,4,10,10,8,7,11,7,35,30,85.7%,41,40,97.6%,4,139,47,0,34.8
2017,Adam Vinatieri,IND,45,K,15,0,,,11,11,10,7,7,6,6,5,34,29,85.3%,24,22,91.7%,,,,,
