year,player,team,age,pos,g,gs,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds
2018,Andre Roberts*+,NYJ,30,wr,16,1,23,324,1,78,14.1,40,1174,1,99,29.4,1597
2018,Alex Erickson,CIN,26,wr,16,6,20,212,0,38,10.6,40,1049,0,77,26.2,1450
2018,Ryan Switzer,PIT,24,wr,16,1,30,252,0,23,8.4,30,607,0,35,20.2,1133
2018,Dwayne Harris,OAK,31,wr,15,1,20,281,1,99,14.1,29,663,0,34,22.9,996
2018,DeAndre Carter,2TM,25,,14,4,26,249,0,42,9.6,19,425,0,30,22.4,897
2018,Desmond King+,LAC,24,cb/db,16,8,23,318,1,73,13.8,22,522,0,40,23.7,915
2018,Tyler Lockett,SEA,26,WR,16,14,25,143,0,19,5.7,19,493,0,84,25.9,1670
2018,Jabrill Peppers,CLE,23,S,16,16,25,219,0,33,8.8,19,408,0,29,21.5,659
2018,Tarik Cohen*+,CHI,23,rb/wr,16,7,33,411,0,44,12.5,2,22,0,22,11.0,1599
2018,Richie James,SFO,23,wr,13,2,12,75,0,23,6.3,23,580,1,97,25.2,785
2018,Tremon Smith,KAN,22,cb,14,1,,,,,,33,886,0,97,26.8,886
2018,Jakeem Grant,MIA,26,wr,10,2,14,228,1,71,16.3,18,535,1,102,29.7,1036
2018,Jojo Natson,LAR,24,,13,0,26,280,0,60,10.8,6,108,0,24,18.0,388
2018,Tyler Ervin,HOU,25,,9,0,21,175,0,27,8.3,10,253,0,36,25.3,463
2018,Isaiah McKenzie,2TM,23,,8,1,16,100,0,21,6.3,12,237,0,33,19.8,582
2018,Marvin Hall,ATL,25,,16,0,1,0,0,0,0.0,26,616,0,53,23.7,765
2018,Marcus Sherels,MIN,31,,12,0,23,276,0,70,12.0,2,34,0,17,17.0,310
2018,Corey Coleman,NYG,24,wr,8,1,1,19,0,19,19.0,23,598,0,51,26.0,693
2018,Cyrus Jones,2TM,25,,13,0,23,304,1,70,13.2,1,12,0,12,12.0,316
2018,Chester Rogers,IND,24,WR,16,10,23,215,0,51,9.3,1,10,0,10,10.0,706
2018,Adam Humphries,TAM,25,WR,16,10,21,139,0,16,6.6,2,17,0,13,8.5,983
2018,Cordarrelle Patterson,NWE,27,rb/wr,15,5,,,,,,23,663,1,95,28.8,1138
2018,Justin Hardy,ATL,27,,16,0,20,147,0,18,7.4,2,7,0,7,3.5,287
2018,Darius Jennings,TEN,26,,16,0,,,,,,22,698,1,94,31.7,801
2018,Chris Moore,BAL,25,,16,0,,,,,,22,491,0,39,22.3,704
2018,Dede Westbrook,JAX,25,WR,16,9,19,266,1,74,14.0,3,37,0,16,12.3,1118
2018,Pharoh Cooper,2TM,23,,7,0,8,79,0,45,9.9,13,277,0,28,21.3,356
2018,Christian Kirk,ARI,22,wr,12,7,21,164,0,44,7.8,,,,,,789
