rec_yds_per_g,gs,rec_yds_per_rec,g,rec_long,rec_td,age,year,catch_pct,pos,rec_yds_per_tgt,fumbles,player,team,rec,rec_yds,rec_per_g,targets
71.7,16,11.1,16,53,5,25,2006,63.2%,WR,7.0,1,Andre Johnson,HOU,103,1147,6.4,163
67.9,14,11.1,16,31,6,29,2006,67.1%,WR,7.4,1,Mike Furrey,DET,98,1086,6.1,146
85.4,16,14.4,16,68,12,34,2006,64.2%,WR,9.2,1,Marvin Harrison+,IND,95,1366,5.9,148
74.3,16,12.8,16,67,10,30,2006,52.0%,WR,6.6,2,Torry Holt,STL,93,1188,5.8,179
80.9,16,14.1,16,82,8,31,2006,53.2%,WR,7.5,1,Donald Driver,GNB,92,1295,5.8,173
68.6,16,12.1,16,58,6,29,2006,59.9%,WR,7.2,1,Laveranues Coles,NYJ,91,1098,5.7,152
77.2,13,12.0,14,40,9,29,2006,68.2%,WR,8.2,0,T.J. Houshmandzadeh,CIN,90,1081,6.4,132
50.4,16,9.0,16,64,3,23,2006,81.8%,fb/RB,7.3,4,Steven Jackson,STL,90,806,5.6,110
54.7,16,9.8,16,40,3,23,2006,74.2%,TE,7.3,1,Kellen Winslow,CLE,89,875,5.6,120
46.4,8,8.4,16,74,2,21,2006,72.7%,rb/wr,6.1,2,Reggie Bush,NOR,88,742,5.5,121
85.6,16,15.7,16,74,7,28,2006,57.2%,WR,9.0,1,Chad Johnson+,CIN,87,1369,5.4,152
81.9,16,15.2,16,51,9,28,2006,62.8%,WR,9.6,1,Reggie Wayne,IND,86,1310,5.4,137
73.8,15,13.9,16,56,13,33,2006,56.7%,WR,7.9,0,Terrell Owens,DAL,85,1180,5.3,150
75.2,16,14.5,16,64,4,26,2006,54.6%,WR,7.9,1,Anquan Boldin,ARI,83,1203,5.2,152
83.3,14,14.0,14,72,8,27,2006,59.7%,WR,8.4,2,Steve Smith,CAR,83,1166,5.9,139
60.1,16,11.7,16,71,6,24,2006,65.6%,WR,7.7,0,Jerricho Cotchery,NYJ,82,961,5.1,125
80.8,15,15.8,16,83,8,25,2006,59.9%,WR,9.4,1,Lee Evans,BUF,82,1292,5.1,137
81.9,16,16.0,16,60,7,25,2006,54.3%,WR,8.7,2,Roy Williams,DET,82,1310,5.1,151
46.6,14,9.1,15,52,4,27,2006,73.3%,RB,6.7,2,Brian Westbrook,PHI,77,699,5.1,105
68.6,13,14.8,16,45,3,34,2006,58.7%,WR,8.7,0,Isaac Bruce,STL,74,1098,4.6,126
69.6,14,13.2,14,70,6,30,2006,58.7%,FL/te,7.7,2,Hines Ward,PIT,74,975,5.3,126
60.0,15,12.3,15,57,5,30,2006,70.2%,TE,8.7,1,Tony Gonzalez,KAN,73,900,4.9,104
47.8,16,10.5,16,30,6,26,2006,62.9%,TE,6.6,0,Todd Heap,BAL,73,765,4.6,116
57.8,16,13.0,16,57,9,26,2006,59.2%,TE,7.7,0,Antonio Gates+,SDG,71,924,4.4,120
74.1,12,14.8,14,86,8,23,2006,60.9%,WR,9.0,0,Marques Colston,NOR,70,1038,5.0,115
69.8,14,15.0,15,54,6,32,2006,63.1%,WR,9.4,0,Terry Glenn,DAL,70,1047,4.7,111
50.9,16,11.6,16,40,4,34,2006,54.7%,WR,6.4,1,Keyshawn Johnson,CAR,70,815,4.4,128
72.8,13,13.7,13,57,6,23,2006,62.2%,WR,8.5,0,Larry Fitzgerald,ARI,69,946,5.3,111
67.8,16,15.7,16,83,8,28,2006,54.8%,WR,8.6,0,Javon Walker,DEN,69,1084,4.3,126
46.9,15,11.0,16,38,2,32,2006,60.7%,WR,6.7,1,Derrick Mason,BAL,68,750,4.3,112
